feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0450,2026-08-06,Dealer,First-Time Owners,Ownership,North,2,95,Insurance documentation,4,yes,yes,4,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0165,2026-08-07,Email,Touring Owners,Purchase,Central,5,77,Test ride,2,no,no,5,Test ride was handled smoothly across the purchase journey.
FB-0153,2026-08-08,Survey,Performance Enthusiasts,Purchase,North,3,105,Financing clarity,3,yes,yes,4,Financing clarity was acceptable but purchase could be smoother.
FB-0068,2026-08-09,Email,First-Time Owners,Ownership,Central,3,117,Insurance documentation,3,no,no,3,Insurance documentation was acceptable but ownership could be smoother.
FB-0128,2026-08-09,Email,First-Time Owners,Ownership,Central,3,83,Recall communication,2,yes,yes,4,Recall communication took longer than expected but the team communicated.
FB-0381,2026-08-09,Email,First-Time Owners,Purchase,North,3,72,Delivery handover,3,yes,yes,5,Mixed experience with delivery handover; resolved eventually after follow-up.
FB-0120,2026-08-10,Dealer,Urban Commuters,Purchase,North,4,69,Financing clarity,2,no,no,4,Financing clarity matched expectations and the purchase step felt effortless.
FB-0242,2026-08-10,Survey,Urban Commuters,Purchase,Central,3,102,Test ride,3,no,no,3,Test ride was acceptable but purchase could be smoother.
FB-0108,2026-08-11,Email,Urban Commuters,Purchase,Central,5,90,Order tracking,1,no,no,5,Order tracking matched expectations and the purchase step felt effortless.
FB-0389,2026-08-11,Email,Performance Enthusiasts,Purchase,Central,4,93,Financing clarity,3,no,no,4,Clear and proactive handling of financing clarity; very satisfied.
FB-0427,2026-08-11,Email,Urban Commuters,Digital,South,3,98,Account access,2,yes,yes,5,Mixed experience with account access; resolved eventually after follow-up.
FB-0059,2026-08-12,Email,Performance Enthusiasts,Purchase,South,2,96,Financing clarity,4,yes,yes,2,Financing clarity was confusing and slowed the whole purchase experience.
FB-0421,2026-08-12,Dealer,Performance Enthusiasts,Digital,North,4,86,App onboarding,2,yes,yes,5,App onboarding was handled smoothly across the digital journey.
FB-0187,2026-08-13,Dealer,Urban Commuters,Purchase,North,4,95,Financing clarity,2,yes,yes,5,Financing clarity matched expectations and the purchase step felt effortless.
FB-0283,2026-08-14,Social,Urban Commuters,Service,Central,5,37,Maintenance clarity,2,no,no,5,Clear and proactive handling of maintenance clarity; very satisfied.
FB-0061,2026-08-16,Email,Urban Commuters,Purchase,Central,3,122,Financing clarity,4,yes,no,3,Financing clarity was acceptable but purchase could be smoother.
FB-0182,2026-08-17,Survey,First-Time Owners,Service,South,3,118,Service cost transparency,3,yes,yes,4,Service cost transparency was acceptable but service could be smoother.
FB-0371,2026-08-18,Email,First-Time Owners,Purchase,North,2,65,Financing clarity,4,yes,yes,3,Financing clarity was confusing and slowed the whole purchase experience.
FB-0163,2026-08-19,App,Urban Commuters,Digital,North,4,45,Feature discovery,2,no,no,4,Feature discovery was handled smoothly across the digital journey.
FB-0315,2026-08-19,Email,Urban Commuters,Digital,Central,3,142,Account access,2,yes,yes,4,Account access took longer than expected but the team communicated.
FB-0055,2026-08-20,Survey,First-Time Owners,Service,North,3,118,Appointment wait,3,no,no,3,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0341,2026-08-20,Social,Touring Owners,Ownership,Central,3,40,Warranty registration,2,no,no,3,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0279,2026-08-22,Email,Performance Enthusiasts,Ownership,North,4,113,Insurance documentation,3,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0216,2026-08-23,Email,Urban Commuters,Digital,North,5,101,Account access,2,no,no,5,Clear and proactive handling of account access; very satisfied.
FB-0081,2026-08-24,Dealer,First-Time Owners,Purchase,South,2,99,Financing clarity,5,yes,yes,4,Financing clarity created friction and I expected clearer guidance.
FB-0257,2026-08-24,Dealer,Touring Owners,Purchase,North,3,105,Order tracking,3,yes,yes,5,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0092,2026-08-25,Email,Urban Commuters,Digital,Central,4,98,App onboarding,2,yes,no,4,Clear and proactive handling of app onboarding; very satisfied.
FB-0360,2026-08-25,Email,Performance Enthusiasts,Ownership,North,5,86,Warranty registration,3,no,no,5,Warranty registration matched expectations and the ownership step felt effortless.
FB-0368,2026-08-25,App,Performance Enthusiasts,Service,North,4,67,Repair turnaround,2,no,no,4,Repair turnaround was handled smoothly across the service journey.
FB-0102,2026-08-27,Email,Urban Commuters,Service,South,3,108,Repair turnaround,3,yes,no,3,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0113,2026-08-27,Survey,Urban Commuters,Service,South,3,115,Parts availability,3,yes,yes,4,Parts availability took longer than expected but the team communicated.
FB-0202,2026-08-27,Social,Performance Enthusiasts,Service,North,4,33,Maintenance clarity,2,yes,yes,5,Maintenance clarity was handled smoothly across the service journey.
FB-0233,2026-08-27,Survey,Performance Enthusiasts,Ownership,North,3,131,Recall communication,3,yes,yes,4,Recall communication took longer than expected but the team communicated.
FB-0270,2026-08-27,Survey,First-Time Owners,Service,Central,4,127,Parts availability,4,no,no,4,Clear and proactive handling of parts availability; very satisfied.
FB-0378,2026-08-30,App,Urban Commuters,Service,North,4,59,Repair turnaround,3,yes,yes,5,Clear and proactive handling of repair turnaround; very satisfied.
FB-0076,2026-08-31,App,Touring Owners,Ownership,South,5,66,Recall communication,2,no,no,5,Recall communication matched expectations and the ownership step felt effortless.
FB-0122,2026-08-31,Social,Urban Commuters,Purchase,Central,5,89,Trade-in valuation,2,no,no,5,Trade-in valuation matched expectations and the purchase step felt effortless.
FB-0057,2026-09-02,App,Urban Commuters,Ownership,South,4,50,Insurance documentation,2,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0095,2026-09-02,Dealer,Touring Owners,Ownership,North,5,41,Accessories,2,no,no,5,Clear and proactive handling of accessories; very satisfied.
FB-0161,2026-09-02,Survey,Urban Commuters,Digital,North,4,88,Digital service booking,2,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0188,2026-09-02,Survey,Performance Enthusiasts,Ownership,Central,2,140,Recall communication,3,yes,yes,2,Recall communication created friction and I expected clearer guidance.
FB-0211,2026-09-02,Dealer,Touring Owners,Digital,South,5,68,Connectivity pairing,2,no,no,5,Clear and proactive handling of connectivity pairing; very satisfied.
FB-0290,2026-09-02,App,Performance Enthusiasts,Digital,North,3,94,Account access,3,yes,yes,4,Account access was acceptable but digital could be smoother.
FB-0340,2026-09-02,Email,Touring Owners,Ownership,South,4,80,Accessories,3,no,no,4,Accessories matched expectations and the ownership step felt effortless.
FB-0060,2026-09-03,App,First-Time Owners,Service,South,3,128,Repair turnaround,3,yes,yes,5,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0220,2026-09-04,App,Touring Owners,Digital,North,4,108,Feature discovery,1,yes,no,4,Clear and proactive handling of feature discovery; very satisfied.
FB-0304,2026-09-04,Dealer,First-Time Owners,Service,Central,3,52,Parts availability,2,yes,yes,5,Parts availability was acceptable but service could be smoother.
FB-0365,2026-09-06,Survey,Performance Enthusiasts,Purchase,North,5,91,Financing clarity,1,no,no,5,Financing clarity was handled smoothly across the purchase journey.
FB-0213,2026-09-08,Dealer,Performance Enthusiasts,Service,North,3,91,Repair turnaround,3,no,no,3,Repair turnaround took longer than expected but the team communicated.
FB-0292,2026-09-08,Survey,Urban Commuters,Ownership,South,5,127,Recall communication,2,no,no,5,Recall communication was handled smoothly across the ownership journey.
FB-0306,2026-09-11,Social,Urban Commuters,Ownership,Central,4,34,Accessories,2,no,no,4,Accessories was handled smoothly across the ownership journey.
FB-0318,2026-09-11,Email,First-Time Owners,Purchase,North,2,91,Financing clarity,4,yes,yes,5,Financing clarity was confusing and slowed the whole purchase experience.
FB-0324,2026-09-11,App,Urban Commuters,Digital,Central,3,106,Feature discovery,3,yes,yes,4,Feature discovery was acceptable but digital could be smoother.
FB-0333,2026-09-11,Dealer,Touring Owners,Purchase,North,5,95,Delivery handover,2,yes,yes,5,Delivery handover matched expectations and the purchase step felt effortless.
FB-0107,2026-09-12,Email,Urban Commuters,Purchase,North,4,80,Order tracking,3,no,no,4,Order tracking matched expectations and the purchase step felt effortless.
FB-0443,2026-09-12,App,First-Time Owners,Ownership,North,3,115,Insurance documentation,4,yes,yes,4,Insurance documentation was acceptable but ownership could be smoother.
FB-0022,2026-09-14,Email,First-Time Owners,Service,South,4,153,Service cost transparency,2,no,no,4,Service cost transparency matched expectations and the service step felt effortless.
FB-0261,2026-09-14,Dealer,Touring Owners,Ownership,South,3,89,Recall communication,2,yes,no,4,Recall communication took longer than expected but the team communicated.
FB-0295,2026-09-15,Email,Urban Commuters,Purchase,Central,4,69,Test ride,3,yes,no,4,Test ride was handled smoothly across the purchase journey.
FB-0309,2026-09-15,Dealer,Performance Enthusiasts,Digital,Central,3,84,Account access,2,no,no,3,Account access was acceptable but digital could be smoother.
FB-0302,2026-09-17,Email,Performance Enthusiasts,Service,North,3,74,Service cost transparency,2,yes,yes,4,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0376,2026-09-17,App,Touring Owners,Digital,Central,4,105,Account access,2,yes,yes,5,Account access matched expectations and the digital step felt effortless.
FB-0072,2026-09-18,Survey,First-Time Owners,Purchase,North,3,138,Trade-in valuation,3,yes,yes,4,Trade-in valuation took longer than expected but the team communicated.
FB-0342,2026-09-21,Dealer,Performance Enthusiasts,Digital,North,5,88,Digital service booking,2,no,no,5,Clear and proactive handling of digital service booking; very satisfied.
FB-0085,2026-09-23,Email,First-Time Owners,Ownership,Central,2,132,Warranty registration,3,yes,yes,4,Frustrated with warranty registration during ownership; needed several contacts to resolve.
FB-0155,2026-09-23,App,Performance Enthusiasts,Purchase,North,3,62,Financing clarity,4,yes,yes,5,Financing clarity was acceptable but purchase could be smoother.
FB-0212,2026-09-24,Survey,First-Time Owners,Digital,North,3,73,Feature discovery,3,yes,no,3,Mixed experience with feature discovery; resolved eventually after follow-up.
FB-0319,2026-09-24,Social,Touring Owners,Purchase,South,4,81,Delivery handover,3,yes,yes,5,Clear and proactive handling of delivery handover; very satisfied.
FB-0162,2026-09-26,Dealer,First-Time Owners,Purchase,North,2,78,Financing clarity,4,yes,no,2,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0186,2026-09-26,Email,Urban Commuters,Service,North,5,69,Repair turnaround,2,no,no,5,Repair turnaround matched expectations and the service step felt effortless.
FB-0013,2026-09-27,Survey,First-Time Owners,Purchase,Central,3,126,Financing clarity,5,yes,yes,5,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0026,2026-09-27,Social,Urban Commuters,Ownership,Central,3,72,Insurance documentation,2,yes,yes,4,Insurance documentation was acceptable but ownership could be smoother.
FB-0247,2026-09-27,Social,First-Time Owners,Purchase,Central,3,45,Financing clarity,3,no,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0250,2026-09-27,Dealer,Performance Enthusiasts,Ownership,North,3,41,Warranty registration,3,no,no,3,Warranty registration was acceptable but ownership could be smoother.
